System Type,Literature Name,Name1,Selection Method,Confirmation Method,z1,z1_type,RA1,Dec1,Equinox,Coordinate_waveband1,Coordinate_Source1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Equinox,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,Sep,Sep(kpc),Paper(s),BibCode(s),DOI(s),Notes

(%)Dual AGN Candidate,RXJ162902.3+372434,RXJ1629+3724A,X-ray Imaging / Optical Spectroscopy / Optical Imaging,,0.92566,spec,16:29:02.5963967088,+37:24:30.768379272,J2000,Optical,GAIA,,,,RXJ1629+3724B,0.926187,spec,16:29:02.6355006264,+37:24:35.093497032,J2000,Optical,GAIA,,,,4.45,,Mason+2000,2000MNRAS.311..456M,https://doi.org/10.1046/j.1365-8711.2000.03026.x,Not sure what instruments the coordinates come from. No angular separation provided. I measured the angular separation in r-band SDSS imaging. Not obvious which instrument and what setup was used for the analysis. Simply marking as optical spectroscopy.

(%)Dual AGN,SDSS J2153+2732,SDSS J2153+2732A,Optical Imaging / Optical Colors / Fiber Spectroscopy,Fiber Spectroscopy / Long-Slit Optical Spectroscopy,2.214,spec,21:53:16.2824673768,+27:32:34.877504508,J2000,Optical,GAIA,,,,SDSS J2153+2732B,2.244,spec,21:53:16.0182897672,+27:32:35.523212532,J2000,Optical,GAIA,,,,3.6,,Shalyapin+2018,2018MNRAS.480.2853S,https://doi.org/10.1093/mnras/sty2028,

Dual AGN Candidate,IRAS 14348-1447 NE,IRAS 14348-1447 NE,IR Colors / X-ray Imaging,,0.0830,spec,14:37:38.2867288488,-15:00:24.087592692,J2000,Optical,GAIA,,,,IRAS 14348-1447 SW,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Wang+2010,2010RAA....10..309W,https://doi.org/10.1088/1674-4527/10/4/003,Coordinates are not unique. Redshifts are not unique.
Dual AGN Candidate,NGC 7592,NGC 7592 E,IR Colors / X-ray Imaging,,,,23:18:22.0,-04:24:57,J2000,,,,,,NGC 7592 W,-99,-99,-99,-99,-99,,,,,,,,Wang+2010 ; Torres-Alba+2018,2010RAA....10..309W ; 2018A&A...620A.140T,https://doi.org/10.1088/1674-4527/10/4/003 ; https://doi.org/10.1051/0004-6361/201834105,Torres-Alba+2018 also look at this but do not conclude it is a dual. Coordinates are not unique. Redshifts are not unique.
Dual AGN Candidate,PKS B1345+125,PKS B1345+125 NW,IR Colors / X-ray Imaging,,0.12118,spec,13:47:33.36161873,+12:17:24.2398927,J2000,Radio,ICRF,,,,PKS B1345+125 SE,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Wang+2010,2010RAA....10..309W,https://doi.org/10.1088/1674-4527/10/4/003,Coordinates are not unique. Redshifts are not unique.
Dual AGN Candidate,VV 114,VV 114 E,IR Colors / X-ray Imaging,,0.020480,,01:07:47.2,-17:30:25,J2000,,,,,,VV 114 W,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Wang+2010,2010RAA....10..309W,https://doi.org/10.1088/1674-4527/10/4/003,Coordinates are not unique. Redshifts are not unique.
Dual AGN Candidate,III Zw 035,III Zw 035 NE,IR Colors / X-ray Imaging,,,,01:44:30.516,+17:06:09.18,J2000,Near-IR,2MASS,,,,III Zw 035 SW,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Wang+2010 ; Torres-Alba+2018,2010RAA....10..309W ; 2018A&A...620A.140T,https://doi.org/10.1088/1674-4527/10/4/003 ; https://doi.org/10.1051/0004-6361/201834105,Torres-Alba+2018 also look at this and suggest based on multiwavelength results (theirs and others') that the southern component probably hosts an AGN but they do not make any AGN-like conclusions for the northern source. Coordinates are not unique. Redshifts are not unique.

(%)Dual AGN Candidate,J1036+0221,J1036+0221,Mid-IR Colors / Long-Slit Optical Spectroscopy / X-ray Imaging / X-ray Spectroscopy / Radio Imaging,,0.04990,spec,10:36:31.96,+02:21:45.89,J2000,Optical,SDSS,,,,J1306+0221,0.05049,spec,10:36:31.88,+02:21:44.10,J2000,Optical,SDSS,,,,,,Satyapal+2017 ; Dutta+2018 ; Pfeifle+2019,2017ApJ...848..126S ; 2018MNRAS.480..947D ; 2019ApJ...875..117P,https://doi.org/10.3847/1538-4357/aa88ca ; https://doi.org/10.1093/mnras/sty1872 ; https://doi.org/10.3847/1538-4357/ab07bc,Optical spectroscopy in Dutta+ does not cover OIII but NII/Halpha suggests possible pair of optical AGNs. Only one X-ray source reported.

(%)Dual AGN,J0813+5416,J081312.63+541649.8,Optical Imaging / Fiber Spectroscopy,Fiber Spectroscopy / Long-Slit Optical Spectroscopy / X-ray Imaging / X-ray Spectroscopy,0.7814,spec,08:13:12.63,+54:16:49.8,J2000,Optical,,,,,SDSSJ081313.10+541646.9,0.7792,spec,08:13:13.10,+54:16:46.9,J2000,Optical,SDSS,,,,5,,Green+2011,2011ApJ...743...81G,https://doi.org/10.1088/0004-637X/743/1/81,Newly identified dual AGN by Green+ using SDSS + KPNO spectroscopy. Green+2011 examine a subset of dual AGNs (this one) from Hennawi+06+08 and Myers+06+08 and Green+10.

Dual AGN Candidate,NVSS J021557-082517,F0030_1 / NVSS J021557-082517,Radio-to-infrared Colors / Radio Imaging,Radio-to-infrared Colors / Radio Imaging,,,02:15:57.080,-08:25:17.55,J2000,Radio,VLBA,21.8,mJy,1.4 GHz VLBA,F0030_2 / NVSS J021557-082517,,,-99,-99,-99,-99,-99,6.0,mJy,1.4 GHz VLBA,442.1e-3,,Herzog+2015,2015A&A...578A..67H,https://doi.org/10.1051/0004-6361/201525997,Infrared-faint radio sources selected via Radio-to-infrared ratios that show 2 sources in VLBA imaging
Dual AGN Candidate,NVSS J131551+512710,F0257_1 / NVSS J131551+512710,Radio-to-infrared Colors / Radio Imaging,Radio-to-infrared Colors / Radio Imaging,,,13:15:51.150,+51:27:10.01,J2000,Radio,VLBA,5.7,mJy,1.4 GHz VLBA,F0257_2 / NVSS J131551+512710,,,-99,-99,J2000,-99,-99,2.1,mJy,1.4 GHz VLBA,155.5e-3,,Herzog+2015,2015A&A...578A..67H,https://doi.org/10.1051/0004-6361/201525997,Infrared-faint radio sources selected via Radio-to-infrared ratios that show 2 sources in VLBA imaging

Binary AGN Candidate,S5 0716+714,S5 0716+714,Quasi-Periodicity,,0.300,,07:21:53.4482942664,+71:20:36.363846516,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Covino+2019,2019MNRAS.482.1270C,https://doi.org/10.1093/mnras/sty2720,Prokhorov+2017 originally flagged this as being periodic. Covino+ argue that that there is no strong case for year-long quasi-periodicities and the power spectrum is consistent with being generated by red noise.
Binary AGN Candidate,PKS 0805-077,PKS 0805-077,Quasi-Periodicity,,1.84,spec,08:08:15.53603763,-07:51:09.8865298,J2000,Radio,ICRF,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Covino+2019,2019MNRAS.482.1270C,https://doi.org/10.1093/mnras/sty2720,Prokhorov+2017 originally flagged this as being periodic. Covino+ argue that that there is no strong case for year-long quasi-periodicities and the power spectrum is consistent with being generated by red noise.
Binary AGN Candidate,4C+01.28,4C+01.28,Quasi-Periodicity,,0.18516,spec,10:58:29.60520810,+01:33:58.8237454,J2000,Radio,ICRF,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Covino+2019,2019MNRAS.482.1270C,https://doi.org/10.1093/mnras/sty2720,Prokhorov+2017 originally flagged this as being periodic. Covino+ argue that that there is no strong case for year-long quasi-periodicities and the power spectrum is consistent with being generated by red noise.
Binary AGN Candidate,PKS 2052-474,PKS 2052-474,Quasi-Periodicity,,1.49,spec,20:56:16.35980507,-47:14:47.6277179,J2000,Radio,ICRF,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Covino+2019,2019MNRAS.482.1270C,https://doi.org/10.1093/mnras/sty2720,Prokhorov+2017 originally flagged this as being periodic. Covino+ argue that that there is no strong case for year-long quasi-periodicities and the power spectrum is consistent with being generated by red noise.
 
Binary AGN Candidate,4C 67.05,4C 67.05 (0224 + 671),Periodicity,,0.523,spec,02:28:50.05148365,+67:21:03.0293322,J2000,Radio,ICRF,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Ciaramella+2004,2004A&A...419..485C,https://doi.org/10.1051/0004-6361:20035771,
Binary AGN Candidate,4C 40.24,4C 40.24 (0945+408),Periodicity,,1.25027,spec,09:48:55.33815103,+40:39:44.5869471,J2000,Radio,ICRF,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Ciaramella+2004,2004A&A...419..485C,https://doi.org/10.1051/0004-6361:20035771,

Binary AGN Candidate,ON 231,ON 231,Periodicity,,0.10289,spec,12:21:31.6904439888,+28:13:58.500308172,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Rieger+2007,2007Ap&SS.309..271R,https://doi.org/10.1007/s10509-007-9467-y,Rieger+07 lists it as a candidate binary in their table and quotes a literature source but it is unclear if this was quoted as a binary previously.
Binary AGN Candidate,3C 273,3C 273,Periodicity,,0.158339,,12:29:06.6998257176,+02:03:08.597629980,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Ciaramella+2004 ; Rieger+2007,2004A&A...419..485C ; 2007Ap&SS.309..271R,https://doi.org/10.1051/0004-6361:20035771 ; https://doi.org/10.1007/s10509-007-9467-y,Rieger+07 lists it as a candidate binary in their table and quotes a literature source but it is unclear if this was quoted as a binary previously.
Binary AGN Candidate,3C 66A,3C 66A,Periodicity,,0.444,,02:22:39.6114771888,+43:02:07.799534304,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Rieger+2007,2007Ap&SS.309..271R,https://doi.org/10.1007/s10509-007-9467-y,Rieger+07 lists it as a candidate binary in their table and quotes a literature source but it is unclear if this was quoted as a binary previously.
Binary AGN Candidate,3C 446,3C 446,Periodicity,,1.404,spec,22:25:47.25929101,-04:57:01.3907626,J2000,Radio,ICRF,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Rieger+2007,2007Ap&SS.309..271R,https://doi.org/10.1007/s10509-007-9467-y,Rieger+07 lists it as a candidate binary in their table and quotes a literature source but it is unclear if this was quoted as a binary previously.

Dual AGN Candidate,SDSS J133039.82-001035.7,SDSS J133039.82-001035.7,Varstrometry,,0.238,spec,13:30:39.82,-00:10:35.7,J2000,Optical,SDSS,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.5,,Shen+2019,2019ApJ...885L...4S,https://doi.org/10.3847/2041-8213/ab4b54,Dual candidate drawn from GAIA DR2 where there are two GAIA matches within 0.3'' of the SDSS position. The GAIA sources are separated byb 0.5''. PaNSTARRS imaging does not show resolved structure and follow-up is needed. Shen+ does not include info on the other 262 AGNs with 2 GAIA matches within 3''. Check Hwang and see if any of these fall in there. Coordinates are not unique and come from SDSS designation.

Binary AGN Candidate,PKS 0340-37,PKS 0340-37,Double-peaked emission lines,,,,03:42:05.3,-37:03:21,J2000,Radio,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Eracleous+1994,1994ApJS...90....1E,https://doi.org/10.1086/191856,
Binary AGN Candidate,3C 93,3C 93,Double-peaked emission lines,,,,03:43:29.9963486496,+04:57:48.612170988,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Eracleous+1994,1994ApJS...90....1E,https://doi.org/10.1086/191856,
Binary AGN Candidate,PKS 1151-34,PKS 1151-34,Double-peaked emission lines,,,,11:54:21.7842834888,-35:05:29.079469716,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Eracleous+1994,1994ApJS...90....1E,https://doi.org/10.1086/191856,
Binary AGN Candidate,3C 303,3C 303,Double-peaked emission lines / Jet Precession,,0.14121,spec,14:43:02.76069031,+52:01:37.2985156,J2000,Radio,ICRF,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Eracleous+1994 ; Krause+2019,1994ApJS...90....1E ; 2019MNRAS.482..240K,https://doi.org/10.1086/191856 ; https://doi.org/10.1093/mnras/sty2558, Jet precession claimed by Krause+.
Binary AGN Candidate,PKS 1914-45,PKS 1914-45,Double-peaked emission lines,,,,19:17:39.6365228976,-45:30:30.769741764,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Eracleous+1994,1994ApJS...90....1E,https://doi.org/10.1086/191856,
Binary AGN Candidate,IRAS 0236.6-3101,IRAS 0236.6-3101,Double-peaked Emission Lines,,,,02:38:45.1459401792,-30:48:23.394294000,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Eracleous+1994,1994ApJS...90....1E,https://doi.org/10.1086/191856, ???????? this had been repoorted previously but I'm not sure about who

Binary AGN Candidate,Pictor A,Pictor A,Double-peaked Optical Emission Lines,,0.0350,spec,05:19:49.721,-45:46:43.78,J2000,X-ray,Chandra,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Lewis+2010 ; Liu+2016 ; Doan+2020,2010ApJS..187..416L ; 2016ApJ...817...42L ; 2020MNRAS.491.1104D,https://doi.org/10.1088/0067-0049/187/2/416 ; https://doi.org/10.3847/0004-637X/817/1/42,Lewis+ appears to disfavor a binary hypothesis for the variability observed in the line profiles in these objects. Redshift from Eracleous+04. Liu+2016 argues the binary hypothesis is incompatible with data spanning several decades (either the periods are longer than 20 years or other mechanisms give rise to the observed emission line velocity changes) and provides additional arguments against the binary hypothesis outside of the spectroscopic analysis. Doan+ examine this object and place lower limits on the mass of the putative binary. They show that a radial velocity curve does not capture the full behavior of the data. Doan+ also reiterate arguments against the binary hypothesis that were previously discussed by Liu+ and others.
Binary AGN Candidate,PKS 0921-213,PKS 0921-213,Double-peaked Optical Emission Lines,,0.0531,spec,09:23:38.8851,-21:35:47.127,J2000,Radio,VLBA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Lewis+2010 ; Liu+2016 ; Doan+2020,2010ApJS..187..416L ; 2016ApJ...817...42L ; 2020MNRAS.491.1104D,https://doi.org/10.1088/0067-0049/187/2/416 ; https://doi.org/10.3847/0004-637X/817/1/42 ; https://doi.org/10.1093/mnras/stz2705,Lewis+ appears to disfavor a binary hypothesis for the variability observed in the line profiles in these objects. Redshift from Eracleous+04. Liu+2016 argues the binary hypothesis is incompatible with data spanning several decades (either the periods are longer than 20 years or other mechanisms give rise to the observed emission line velocity changes) and provides additional arguments against the binary hypothesis outside of the spectroscopic analysis. Doan+ examine this object and place lower limits on the mass of the putative binary. They show that a radial velocity curve does not capture the full behavior of the data. Doan+ also reiterate arguments against the binary hypothesis that were previously discussed by Liu+ and others.
Binary AGN Candidate,1E 0450.3-1817,1E 0450.3-1817,Double-peaked Optical Emission Lines,,0.0616,spec,04:52:35.89,-18:12:01.8,J2000,Near-IR,2MASS,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Eracleous+1994 ; Lewis+2010 ; Liu+2016 ; Doan+2020,1994ApJS...90....1E ; 2010ApJS..187..416L ; 2016ApJ...817...42L ; 2020MNRAS.491.1104D,https://doi.org/10.1086/191856 ; https://doi.org/10.1088/0067-0049/187/2/416 ; https://doi.org/10.3847/0004-637X/817/1/42 ; https://doi.org/10.1093/mnras/stz2705,Lewis+ appears to disfavor a binary hypothesis for the variability observed in the line profiles in these objects. Redshift from Eracleous+04. Liu+2016 argues the binary hypothesis is incompatible with data spanning several decades (either the periods are longer than 20 years or other mechanisms give rise to the observed emission line velocity changes) and provides additional arguments against the binary hypothesis outside of the spectroscopic analysis. Doan+ examine this object and place lower limits on the mass of the putative binary. They show that a radial velocity curve does not capture the full behavior of the data. Doan+ also reiterate arguments against the binary hypothesis that were previously discussed by Liu+ and others.
Binary AGN Candidate,CBS 74,CBS 74,Double-peaked Optical Emission Lines,,0.0919,spec,08:32:25.346,+37:07:36.66,J2000,Radio,VLA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Lewis+2010 ; Liu+2016 ; Doan+2020,2010ApJS..187..416L ; 2016ApJ...817...42L ; 2020MNRAS.491.1104D,https://doi.org/10.1088/0067-0049/187/2/416 ; https://doi.org/10.3847/0004-637X/817/1/42 ; https://doi.org/10.1093/mnras/stz2705,Lewis+ appears to disfavor a binary hypothesis for the variability observed in the line profiles in these objects. Redshift from Eracleous+04. Liu+2016 argues the binary hypothesis is incompatible with data spanning several decades (either the periods are longer than 20 years or other mechanisms give rise to the observed emission line velocity changes) and provides additional arguments against the binary hypothesis outside of the spectroscopic analysis. Doan+ examine this object and place lower limits on the mass of the putative binary. They show that a radial velocity curve does not capture the full behavior of the data.
Binary AGN Candidate,3C 59,3C 59,Double-peaked Optical Emission Lines,,0.1096,spec,02:07:09.870,+29:31:40.90,J2000,Radio,VLA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Eracleous+1994 ; Lewis+2010 ; Liu+2016 ; Doan+2020,1994ApJS...90....1E ; 2010ApJS..187..416L ; 2016ApJ...817...42L ; 2020MNRAS.491.1104D,https://doi.org/10.1086/191856 ; https://doi.org/10.1088/0067-0049/187/2/416 ; https://doi.org/10.3847/0004-637X/817/1/42 ; https://doi.org/10.1093/mnras/stz2705,Lewis+ appears to disfavor a binary hypothesis for the variability observed in the line profiles in these objects. Redshift from Eracleous+04. Liu+2016 argues the binary hypothesis is incompatible with data spanning several decades (either the periods are longer than 20 years or other mechanisms give rise to the observed emission line velocity changes) and provides additional arguments against the binary hypothesis outside of the spectroscopic analysis. Doan+ examine this object and place lower limits on the mass of the putative binary. They show that a radial velocity curve does not capture the full behavior of the data.
Binary AGN Candidate,PKS 1739+18,PKS 1739+18,Double-peaked Optical Emission Lines,,0.1859,spec,17:42:06.974,+18:27:20.66,J2000,Optical,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Lewis+2010 ; Liu+2016 ; Doan+2020,2010ApJS..187..416L ; 2016ApJ...817...42L ; 2020MNRAS.491.1104D,https://doi.org/10.1088/0067-0049/187/2/416 ; https://doi.org/10.3847/0004-637X/817/1/42 ; https://doi.org/10.1093/mnras/stz2705,Lewis+ appears to disfavor a binary hypothesis for the variability observed in the line profiles in these objects. Redshift from Eracleous+04. Liu+2016 argues the binary hypothesis is incompatible with data spanning several decades (either the periods are longer than 20 years or other mechanisms give rise to the observed emission line velocity changes) and provides additional arguments against the binary hypothesis outside of the spectroscopic analysis. Doan+ reiterate arguments against the binary hypothesis that were previously discussed by Liu+ and others.
Binary AGN Candidate,PKS 1020-103,PKS 1020-103,Double-peaked Optical Emission Lines,,0.1965,spec,10:22:32.8160,-10:37:44.203,J2000,Radio,VLBA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Lewis+2010 ; Liu+2016 ; Doan+2020,2010ApJS..187..416L ; 2016ApJ...817...42L ; 2020MNRAS.491.1104D,https://doi.org/10.1088/0067-0049/187/2/416 ; https://doi.org/10.3847/0004-637X/817/1/42 ; https://doi.org/10.1093/mnras/stz2705,Lewis+ appears to disfavor a binary hypothesis for the variability observed in the line profiles in these objects. Redshift from Eracleous+04. Liu+2016 argues the binary hypothesis is incompatible with data spanning several decades (either the periods are longer than 20 years or other mechanisms give rise to the observed emission line velocity changes) and provides additional arguments against the binary hypothesis outside of the spectroscopic analysis. Doan+ argue that the lower limit on the mass of the putative binary is too large. Doan+ also reiterate arguments against the binary hypothesis that were previously discussed by Liu+ and others.

Binary AGN Candidate,PKS 0235+023,PKS 0235+023,Double-peaked Optical Emission Lines,,0.20900,,02:38:32.669,+02:33:49.16,J2000,X-ray,Chandra,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Eracleous+1994 ; Gezari+2007 ; Liu+2016 ; Doan+2020,1994ApJS...90....1E ; 2007ApJS..169..167G ; 2016ApJ...817...42L ; 2020MNRAS.491.1104D,https://doi.org/10.1086/191856 ; https://doi.org/10.1086/511032 ; https://doi.org/10.3847/0004-637X/817/1/42 ; https://doi.org/10.1093/mnras/stz2705,Broad Halpha prior to 1991 is well fit with a  circular disk but after 1991 this is not the case any longer. Gezari+ do not find evidence in favor of a binary hypothesis. But Gezari+ didn't seem to place this object in the context of binaries anyway. Liu+2016 argues the binary hypothesis is incompatible with data spanning several decades (either the periods are longer than 20 years or other mechanisms give rise to the observed emission line velocity changes) and provides additional arguments against the binary hypothesis outside of the spectroscopic analysis. Doan+ reiterate arguments against the binary hypothesis that were previously discussed by Liu+ and others.
Binary AGN Candidate,3C 227,3C 227,Double-peaked Optical Emission Lines,,0.08556,spec,09:47:45.163,+07:25:20.34,J2000,X-ray,Chandra,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Gezari+2007 ; Liu+2016 ; Doan+2020,2007ApJS..169..167G ; 2016ApJ...817...42L ; 2020MNRAS.491.1104D,https://doi.org/10.1086/511032 ; https://doi.org/10.3847/0004-637X/817/1/42 ; https://doi.org/10.1093/mnras/stz2705,Gezari+ do not find evidence in favor of a binary hypothesis. But Gezari+ didn't seem to place this object in the context of binaries anyway. Liu+2016 argues the binary hypothesis is incompatible with data spanning several decades (either the periods are longer than 20 years or other mechanisms give rise to the observed emission line velocity changes) and provides additional arguments against the binary hypothesis outside of the spectroscopic analysis. This is the only object in the Doan+ sample that passed all of their tests but this does not necessarily argue in favor of a binary hypothesis over some other mechanism.
Binary AGN Candidate,3C 382,3C 382,Double-peaked Optical Emission Lines / Jet Precession,,0.05557,,18:35:03.390,+32:41:46.80,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Gezari+2007 ; Krause+2019,2007ApJS..169..167G ; 2019MNRAS.482..240K,https://doi.org/10.1086/511032 ; https://doi.org/10.1093/mnras/sty2558,Gezari+ do not find evidence in favor of a binary hypothesis. But Gezari+ didn't seem to place this object in the context of binaries anyway. Krause+ claim jet prcession.

Binary AGN Candidate,NGC 1097,NGC 1097,,,0.00424,,02:46:19.05,-30:16:29.6,J2000,Near-IR,2MASS,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Doan+2020,2020MNRAS.491.1104D,https://doi.org/10.1093/mnras/stz2705,Doan+ examine this object and place lower limits on the mass of the putative binary. They show that a radial velocity curve does not capture the full behavior of the data. Doan+ also reiterate arguments against the binary hypothesis trhat were previously discussed by Liu+ and others.

Binary AGN Candidate,SBS 1518+593,SBS 1518+593,Asymmetric / Double-peaked Emission Lines,,0.07809,spec,15:19:21.650,+59:08:23.70,J2000,Near-IR,2MASS,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Du+2018,2018ApJ...869..142D,https://doi.org/10.3847/1538-4357/aaed2c,Du+2018 measured Hbeta velocity time-lags in this object in a preliminary reverberation-mapping investigation and found that the velocity-resolved results showed complex structures different from simple inflow outflow or virialized motions. 

Dual AGN Candidate,Q0142-BX195,Q0142-BX195 A,Serendipitous / Near-IR IFU Spectroscopy and Imaging,,2.3805,spec,01:45:17.709,-09:44:54.43,J2000,Near-IR,Keck,,,,Q0142-BX195 B,2.3771,spec,,,J2000,,,,,,,,Law+2018,2018ApJ...866..119L,https://doi.org/10.3847/1538-4357/aae156,No coordinates provided for secoondary AGN

Binary AGN Candidate,PKS 2005-489,PKS 2005-489,Quasi-Periodicity,,0.07067,spec,20:09:25.3906,-48:49:53.720,J2000,Radio,VLBI,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Sandrinelli+2016,2016AJ....151...54S,https://doi.org/10.3847/0004-6256/151/3/54,Conspicuous peak observed around 680-720 days. This is not considered to be one of the more convincing cases of periodicity.
Binary AGN Candidate,PKS 1510-089,PKS 1510-089,Quasi-Periodicity,,0.36000,spec,15:12:50.5329,-09:05:59.828,J2000,Radio,VLBI,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Sandrinelli+2016,2016AJ....151...54S,https://doi.org/10.3847/0004-6256/151/3/54,Most significant peak is around 115 days. This is not considered to be one of the more convincing cases of periodicity.

Dual AGN,SDSS J0233-0546,SDSS J023328.44-054604.4,,,0.49445,spec,02:33:28.44,-05:46:04.4,J2000,Optical,SDSS,,,,SDSS J023331.05-054550.9,0.49394,spec,02:33:31.05,-05:45:50.9,J2000,Optical,SDSS,,,,41,249,Sandrinelli+2018,2018MNRAS.474.4925S,https://doi.org/10.1093/mnras/stx2822,Velocity difference quoted as: 100. This pair is not physically associated in terms of a merger and will not be included in this catalog. The appendix of this paper has some notes on true QSO pairs.
Dual AGN,SDSS J0748+3612,SDSS J074843.02+361258.7,,,0.65399,spec,07:48:43.02,+36:12:58.7,J2000,Optical,SDSS,,,,SDSS J074843.12+361219.4,0.64959,spec,07:48:43.12,+36:12:19.4,J2000,Optical,SDSS,,,,39,273,Sandrinelli+2018,2018MNRAS.474.4925S,https://doi.org/10.1093/mnras/stx2822,Velocity difference quoted as: 795. This pair is not physically associated in terms of a merger and will not be included in this catalog. The appendix of this paper has some notes on true QSO pairs.
Dual AGN,SDSS J0938+4623,SDSS J093847.45+462328.2,,,0.57707,spec,09:38:47.45,+46:23:28.2,J2000,Optical,SDSS,,,,SDSS J093853.83+462310.8,0.57734,spec,09:38:53.83,+46:23:10.8,J2000,Optical,SDSS,,,,68,448,Sandrinelli+2018,2018MNRAS.474.4925S,https://doi.org/10.1093/mnras/stx2822,Velocity difference quoted as: 50. This pair is not physically associated in terms of a merger and will not be included in this catalog. The appendix of this paper has some notes on true QSO pairs.
Dual AGN,SDSS J1240+1118,SDSS J124031.42+111848.9,,,0.58480,spec,12:40:31.42,+11:18:48.9,J2000,Optical,SDSS,,,,SDSS J124032.67+111959.2,0.58404,spec,12:40:32.67,+11:19:59.2,J2000,Optical,SDSS,,,,73,479,Sandrinelli+2018,2018MNRAS.474.4925S,https://doi.org/10.1093/mnras/stx2822,Velocity difference quoted as: 145. This pair is not physically associated in terms of a merger and will not be included in this catalog. The appendix of this paper has some notes on true QSO pairs.
Dual AGN,2SLAQ J1333-0033,2SLAQ J133350.41-003309.3,,,0.60697,spec,13:33:50.41,-00:33:09.3,J2000,Optical,2SLAQ,,,,2SLAQ J133351.17-003248.3,0.61030,spec,13:33:51.17,-00:32:48.3,J2000,Optical,2SLAQ,,,,24,160,Sandrinelli+2018,2018MNRAS.474.4925S,https://doi.org/10.1093/mnras/stx2822,Velocity difference quoted as: 620. This pair is not physically associated in terms of a merger and will not be included in this catalog. The appendix of this paper has some notes on true QSO pairs.

Binary AGN Candidate,PSO J185.8689+46.9752,PSO J185.8689+46.9752,Periodicity,,1.68100,spec,12:23:28.5446843256,+46:58:30.790548156,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Liu+2019,2019ApJ...884...36L,https://doi.org/10.3847/1538-4357/ab40cb,This object does not remain significant under a broken power law model (criteria 4). Various periods are listed in the paper. We leave it out for now. Coordinates not unique.

Recoil Candidate,NGC 4636,NGC 4636,Photocenter displacement,,0.00313,spec,12:42:49.827,+02:41:15.99,J2000,Optical,SDSS,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,30,,Lena+2014,2014ApJ...795..146L,https://doi.org/10.1088/0004-637X/795/2/146,Took the offset from the most 'significant' offset measured
